Name,Additional names,Twitter-Account,Organization,Specific addresses,URL,Language,Category,Subcategory,Country
Canal 9,Canal 9,@canal9valais,Canal9 / Kanal9,,http://www.canal9.ch/,"DE,FR",Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Canal Alpha,Canal Alpha,@canalalpha,CanalAlpha,,http://www.canalalpha.ch/,FR,Massenmediale Öffentlichkeit,TV-Station,CH
Cash,cash/borsalino.ch,,Ringier AG,,http://www.cash.ch,DE,Massenmediale Öffentlichkeit,Onlineplattform,CH
CHTV,,,,,,DE,Massenmediale Öffentlichkeit,Privat-TV-Station,
Coopération,Coopération,,Coop Genossenschaft,,http://www.cooperation.ch/,FR,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Cooperazione,Cooperazione,,Coop Genossenschaft,,http://www.cooperazione.ch/,IT,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Coopzeitung,Coopzeitung,@Coopzeitung,Coop Genossenschaft,,http://www.coopzeitung.ch/,DE,Massenmediale Öffentlichkeit,Wochenzeitung ,CH
Corriere del Ticino,Corriere del Ticino,@CdT_Online,Fondazione per il Corriere del Ticino,,http://www.cdt.ch,IT,Massenmediale Öffentlichkeit,Tageszeitung,CH
Couleur 3,Couleur 3,@Couleur3 ,SRG SSR,,http://www.rts.ch/couleur3/,FR,Massenmediale Öffentlichkeit,öffentlich-rechtlicher Rundfunk,CH
Courrier du Val-de-Travers ,Courrier Du Val de Travers Hebdo,,Imprimerie Montandon & Cie,,http://courrierhebdo.ch/,FR,Massenmediale Öffentlichkeit,Wochenblatt,CH
Das Magazin,Tagi Magi,@tagi_magi,Tamedia,,"http://www.dasmagazin.ch, http://blog.dasmagazin.ch/",DE,Massenmediale Öffentlichkeit,Wochenmagazin,CH
Das Unterwaldner Magazin,Das Unterwaldner Magazin,,,,http://www.unterwaldner.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Davoser Zeitung,DZ,,Südostschweiz Presse und Print AG (Somedia),,http://www.davoserzeitung.ch/,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Der Anzeiger Gürbetal-Längenberg-Schwarzenburgerland,"Anzeiger Gürbetal-Längenberg-Schwarzenburgerland, Der",,"Jordi AG, sohnverlag GmbH",,http://www.anzeigergls.ch,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Der Brienzer,"Brienzer, Der",,Gossweiler Media AG,,http://www.der-brienzer.ch/,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Der Bund,Der Bund,@_DerBund_,Espace Media AG,,http://www.derbund.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Der Freiämter,Der Freiämter,,Heller Media AG ,,http://www.derfreiaemter.ch/,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Der Glattaler,Der Glattaler/Volketswiler,@Glattaler ,Tamedia AG,,http://www.zuonline.ch/glattaler/index.html,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Der Glattfelder,"Glattfelder, Der", ,Stadt-Anzeiger Opfikon/Glattbrugg AG,,http://www.derglattfelder.ch/,DE,Massenmediale Öffentlichkeit,14-täglich,CH
Der Landanzeiger,Der Landanzeiger,@Landanzeiger ,,,http://www.landanzeiger.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Der Landbote,Der Landbote,@landbote ,,,http://www.landbote.ch/home,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Der Murtenbieter,Der Murtenbieter,,,,http://www.murtenbieter.ch/,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Der Oberhasler,Der Oberhasler,,,,http://www.der-oberhasler.ch/,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Der Rheintaler,Der Rheintaler, ,,,http://www.rheintaler.ch/,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Der Seetaler,Der Lindenberg,,,,http://www.lba.azmedien.ch/gemeinden/seetal-lindenberg/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Der Sensetaler,,,,,http://www.bm-media.ch/,DE,Massenmediale Öffentlichkeit,Monatszeitung,CH
Der Tössthaler,Der Tössthaler,,,,http://www.toessthaler.ch/D/druckerei_zeitung.php,DE,Massenmediale Öffentlichkeit,3x wöchentlich,CH
Der Unter-Emmentaler,UE,,,,http://www.schuerch-druck.ch/pages/de/Unter_Emmentaler.html,DE,Massenmediale Öffentlichkeit,3x wöchentlich,CH
Die Botschaft,Botschaft,,Bürli AG,,http://www.buerliag.ch/index.php/zeitung/die-botschaft.html,DE,Massenmediale Öffentlichkeit,3x wöchentlich,CH
Die Heimat,Wochenzeitung der Stadtregion Luzern, ,heimat.ch AG,,http://www.heimat.ch/,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Die Nordwestschweiz,Die AZ Nordwestschweiz,,,,,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Die Südostschweiz,Die Südostschweiz,@suedostschweiz ,,,http://www.suedostschweiz.ch,DE,Massenmediale Öffentlichkeit,Tageszeitung,CH
Die Weltwoche,Weltwoche,@Weltwoche ,,,http://www.weltwoche.ch,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Die Wochenzeitung,WOZ,@Wochenzeitung ,,,http://www.woz.ch,DE,Massenmediale Öffentlichkeit,Wochenzeitung,CH
Die Zeit (Schweiz),Die Zeit (Schweiz),@zeitschweiz ,,,http://www.zeit.de/themen/international/zeit-schweiz/index,DE,Massenmediale Öffentlichkeit,Wochenzeitung,DE/CH
Dorf-Blitz,Dorf-Blitz,,Verein Dorf-Blitz,,http://www.dorfblitz.ch,DE,Massenmediale Öffentlichkeit,Monatszeitung,CH
D'Region,D'Region,,Medienzentrum GmbH,,http://www.dregion.ch/,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Echo von Grindelwald,Echo von Grindelwald,,Gossweiler Media AG,,http://www.echo-von-grindelwald.ch/,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Edelweiss Magazine,Edelweiss Magazine,@EdelweissMag,Ringier AG,,http://www.edelweissmag.ch,FR,Massenmediale Öffentlichkeit,Monatsmagazin (Frauenzeitschrift),CH
Edito,Edito+Klartext,,,,http://www.edito.ch/de/,DE,Medienkritischer Akteur,Fachzeitschrift,
Egnacher Lokalanzeiger,Egnacher Lokalanzeiger,,Gemeindeverwaltung Egnach,,http://www.egnach.ch/index.asp?topic_id=90,DE,Massenmediale Öffentlichkeit,Wochenblatt,CH
Einsiedler Anzeiger,Einsiedler Anzeiger,@EinsiedlerANZ ,ea Druck + Verlag AG,,http://www.einsiedleranzeiger.ch/,DE,Massenmediale Öffentlichkeit,2x wöchentlich,CH
Elgger Zeitung,Elgger Zeitung, ,Elgger-Zeitung AG,,http://www.elgger.ch/,DE,Massenmediale Öffentlichkeit,3x wöchentlich,CH
Energy Basel,Energy Basel,,Ringier AG,,http://www.energy.ch/basel/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Energy Bern,Energy Bern,,Ringier AG,,http://www.energy.ch/bern/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
Energy Zürich,Energy Zürich,,Ringier AG,,http://www.energy.ch/zurich/,DE,Massenmediale Öffentlichkeit,Kommerzielles Privatradio,CH
