Name,(Sonstige) Bezeichnung / Abk.,Country,Category,Verifier,URL,URL-Sprache,Verlagshaus,Twitter-Account,Nickname,Organisation,Position,Follower,Tweets,Link
"Delgado, Teresa",,CH,,Vincenzo,,,,@Delgado__Teresa,,"NZZcampus, ex SonntagsZeitung","Journalist @NZZcampus, based in Switzerland. Ex-intern at @sonntagszeitung",100,217,https://twitter.com/Delgado__Teresa
"Dengler, Veit",,CH,,Vincenzo,,,,@veitdengler,,,"CEO, NZZ-Mediengruppe, neos.eu-Mitbegründer, Mitglied der FDP Schweiz",3239,4186,https://twitter.com/veitdengler
"Derrer, Jan",,CH,,Vincenzo,,,,@JanDerrer,,Tages-Anzeiger,"Digitale Innovation, Multimedia, Videoreporter",606,3'702,https://twitter.com/JanDerrer
"Dick, Marco",,CH,,Vincenzo,,,,@commafactory,,Comma Factory,Die Comma Factory ist eine inhabergeführte Full-Service-Kommunikationsagentur,1808,17.4 Tsd,https://twitter.com/commafactory
"Diener, Martin",,CH,,Vincenzo,,,,@dieni,,Radio Zürisee,Moderations-Chef,702,7'612,https://twitter.com/dieni
"Dietrich, Andreas",,CH,,Vincenzo,,,,@Aendou,,"Blick, Ringier",Stv. Chefredaktor,333,18,https://twitter.com/Aendou
"Dischoe, Oli",,CH,,Vincenzo,,,,@Dischoe,,,"Radiomann, Blogger ",457,1'465,https://twitter.com/Dischoe
"Dittli, Mark ",,CH,,Vincenzo,,,,@MarkDittli,,,Journalist,705,2'834,https://twitter.com/MarkDittli
"Ditzler, Thomas",,CH,,Vincenzo,,,,@td_vssport,,Basel?,"Sportredaktor , Medienchef Eishockey-Länderspiel",201,812,https://twitter.com/td_vssport
"Domenjoz, Chrystel",,CH,,Vincenzo,,,,@C_Domenjoz,,Radio RTS,"Journaliste politique, rédac radio RTS.",3'315,13.9 Tsd,https://twitter.com/C_Domenjoz
"Dorer, Christian",,CH,,Vincenzo,,,,@ChristianDorer,,Aargauer Zeitung / Die Nordwestschweiz,Chefredaktor,1'940,332,https://twitter.com/ChristianDorer
"Drechsler, Nicolas",,CH,,Vincenzo,,,,@nicodrec,,bz Basel,Ressortleiter,334,850,https://twitter.com/nicodrec
"Duong, Yen",,CH,,Vincenzo,,,,@yen_duong,,TagesWoche,Redaktorin,919,281,https://twitter.com/yen_duong
"Durisch, Andreas",,CH,,Vincenzo,,,,@a_durisch,,,,137,12,https://twitter.com/a_durisch
"Eberhard, Fabian",,CH,,Vincenzo,,,,@FabianEberhard,,SonntagsZeitung,Journalist,3'505,1'150,https://twitter.com/FabianEberhard
"Eggli, Stefan",,CH,,Vincenzo,,,,@stefaneggli,,,TV-Mann,301,3'727,https://twitter.com/stefaneggli
"Egli, Lukas",,CH,,Vincenzo,,,,@lu__eg,,Die Weltwoche,Produktionschef,803,658,https://twitter.com/lu__eg
"Ehinger, Markus",,CH,,Vincenzo,,,,@ehiBE,,Berner Zeitung,"Journalist BR, Redaktor",600,1'060,https://twitter.com/ehiBE
"Eiselin, Stefan",,CH,,Vincenzo,,,,@stefaneiselin,,handelszeitung.ch - bilanz.ch - finanzen.ch Gründer aeroTELEGRAPH,Chefredaktor,123,246,https://twitter.com/stefaneiselin
"Eisenring, Christoph",,"Washington, D.C.",,Vincenzo,,,,@Ch_Eisenring,,NZZ,Economics Correspondent Neue Zürcher Zeitung,126,82,https://twitter.com/Ch_Eisenring
"El Arbi, Réda",,CH,,Vincenzo,,,,@redder66,,"clack.ch, Tagi-Stadtblog","Co-Chefredaktor clack.ch, Verantwortlicher Redaktor Tagi-Stadtblog, Journalist, PR-Profi, Autor",1'495,3'580,https://twitter.com/redder66
Elena,,CH,,Vincenzo,,,,@elenabalkan,,NZZ,Nachrichtenredaktion,149,1023,https://twitter.com/elenabalkan
"Eng, Adrian",,CH,,Vincenzo,,,,@E_ENN_GEE,,Watson News,,294,1072,https://twitter.com/E_ENN_GEE
"Epp, Carmen",,CH,,Vincenzo,,,,@CarmenEpp,,,"Journalistin beim «Urner Wochenblatt», MAZ-Absolventin und Teilzeitbloggerin",541,1'754,https://twitter.com/CarmenEpp
"Eppenberger, Simon",,CH,,Vincenzo,,,,@S_Eppenberger,,Tagesanzeiger.ch,"Journalist, Stv. Ressortleiter Zürich",526,474,https://twitter.com/S_Eppenberger
"Ercolani, Sacha",,CH,,Vincenzo,,,,@erconews,,,,514,753,https://twitter.com/erconews
"Ermel, Franz",,CH,,Vincenzo,,,,@franzermel,,Watson News,Leiter Redaktion,945,635,https://twitter.com/franzermel
"Erni, Benedikt",,CH,,Vincenzo,,,,@benebenedetto,,SRF Regionaljournal Basel,Journalist,572,50,https://twitter.com/benebenedetto
"Erni, Denise",,CH,,Vincenzo,,,,@deniseerni,,Die Südostschweiz,Journalistin,227,428,https://twitter.com/deniseerni
"Erny, Simon",,CH,,Vincenzo,,,,@SimonErny,,Schweizer Fernsehen  RTs # endorsements,Journalist,827,281,https://twitter.com/SimonErny
"Esseiva, Claudine",,CH,,Vincenzo,,,,@cesseiva,,FDP,"liberal, progressiv und freidenkende Feministin, Generalsekretärin FDP 
Frauen",3878,2939,https://twitter.com/cesseiva
"Estermann, Edi",,CH,,Vincenzo,,,,@ediester,,,Chief Communications Officer CCO Ringier AG,831,211,https://twitter.com/ediester
"Eugster, Nik",,CH,,Vincenzo,,,,@nikeugster,,Energy Bern,Programmleiter von Energy Bern und Energy Basel.,105,37,https://twitter.com/nikeugster
"Fahmy, Mona",,CH,,Vincenzo,,,,@fahmy07,,,"Autorin, Investigative Journalistin",383,283,https://twitter.com/fahmy07
"Faki, Sermîn",,CH,,Vincenzo,,,,@serminfaki,,Bundeshausredaktorin,Journalistin,708,617,https://twitter.com/serminfaki
"Fargahi, Nina",,CH,,Vincenzo,,,,@nfargahi,,Neue Zürcher Zeitung,Journalistin,801,559,https://twitter.com/nfargahi
"Faust, Tobias",,CH,,Vincenzo,,,,@tobias_faust,,TagesWoche,Geschäftsleiter ,335,751,https://twitter.com/tobias_faust
"Felber, Markus",,CH,,Vincenzo,,,,@fel_ch,,,Bundesgerichtskorrespondent und anderes nehr,1'165,192,https://twitter.com/fel_ch
"Felber, Markus",,CH,,Vincenzo,,,,@Frechgeist,,,,5'158,56.8 Tsd,https://twitter.com/Frechgeist
